stop_desc,stop_id,stop_lat,stop_lon,stop_name,stop_url,zone_id
,S01,46.5354145,24.5756343,Macul Rosu,,
,S66,46.5239055,24.5478471,ITA,,
,S103,46.5758311,24.6039912,Deal Sf. Gheorghe,,
,S23,46.5577301,24.5758352,22 Decembrie 1989,,
,S24,46.5579219,24.5758576,Secuilor Martiri,,
,S25,46.5508261,24.573687300000003,Braseria Universitatii,,
,S26,46.5465934,24.5693982,Papiu Ilarian,,
,S27,46.5332761,24.5883126,Corina,,
,S28,46.551408,24.5751479,Mihai Eminescu,,
,S29,46.5542487,24.5785868,Clinica O.R.L.,,
,S03,46.5327838,24.5591576,Cosmos,,
,S30,46.5475623,24.560366,Evidenta Populatiei,,
,S67,46.525685,24.5502003,scoala Generala nr. 11,,
,S31,46.5505367,24.5560081,Cocosul De Aur,,
,S104,46.5761663,24.6049008,Deal Sf. Gheorghe,,
,S32,46.5554754,24.5478178,Podul Mures,,
,S33,46.5504267,24.5559819,Electrica,,
,S34,46.5588309,24.546217,Decebal,,
,S35,46.55677360000001,24.5474047,Tisei,,
,S36,46.5596683,24.5484563,Voinicenilor,,
,S37,46.5626314,24.5479276,Piata Unirii,,
,S38,46.5639826,24.547985600000004,Plopilor,,
,S39,46.5639856,24.547792,Plopilor,,
,S68,46.5251561,24.5497279,Budiului,,
,S04,46.52957120000001,24.5552238,Olimp,,
,S40,46.562696,24.5475343,Unirii,,
,S105,46.5385934,24.5440766,Gimnaziul Nicolae Balcescu,,
,S41,46.5481428,24.5584674,Evreilor Martiri,,
,S42,46.59352620000001,24.6246062,Selgros,,
,S43,46.5116262,24.5111553,European Retail Park,,
,S44,46.5152311,24.5183053,Metro,,
,S45,46.54792120000001,24.5644262,Revolutiei,,
,S46,46.5557544,24.580159100000003,Parcul Eroilor,,
,S47,46.5529763,24.5768192,Clinica De Oncologie,,
,S108,46.5826778,24.610813500000006,Baile Sarate,,
,S48,46.5385055,24.58425,Infratirii,,
,S49,46.5353019,24.5787883,Moldovei,,
,S05,46.5393989,24.5610345,Policlinica nr. 2,,
,S106,46.5901365,24.621440600000003,Nordenlor Gemini,,
,S50,46.5352283,24.5789389,Moldovei,,
,S51,46.5355205,24.5755265,Macul Rosu,,
,S52,46.5376834,24.584493,Poclos,,
,S53,46.5377938,24.5728886,Dacia,,
,S54,46.5373649,24.5741185,Dacia,,
,S55,46.5389161,24.5868573,Tudor Vladimirescu,,
,S69,46.5285942,24.545877800000003,Autogara Voiajor,,
,S56,46.5153399,24.5179153,Metro,,
,S57,46.5180672,24.523374800000006,Liceul de Chimie,,
,S58,46.5186461,24.5251118,Fabrica de Conserve,,
,S59,46.5218085,24.5309653,Record,,
,S07,46.538855700000006,24.5753905,Radio Tirgu Mures (Busteni),,
,S70,46.52838679999999,24.5447992,Autogara Voiajor,,
,S71,46.5288581,24.5538932,Ciucas,,
,S72,46.5309413,24.5496276,Trecatorul,,
,S73,46.5316439,24.5500678,Gara CFR,,
,S107,46.5756566,24.6045491,Strada Tofalau,,
,S74,46.5336289,24.5500945,Gara CFR,,
,S75,46.51249129999999,24.512221,Combinat,,
,S76,46.5233845,24.5988914,Sapientia,,
,S77,46.5325641,24.589806600000006,Corina,,
,S109,46.5637789,24.5849695,Pasajul Ostrovului,,
,S78,46.5366701,24.562094,Predeal,,
,S79,46.536672,24.5619185,Predeal,,
,S08,46.5347406,24.5839785,Bulevardul 1 Decembrie 1918,,
,S80,46.5411614,24.5556427,Cardinal Iuliu Hossu,,
,S81,46.5410516,24.5554667,Iuliu Maniu,,
,S06,46.5386972,24.5702528,Europa,,
,S82,46.5462883,24.5544876,Piata de zi,,
,S83,46.5463592,24.5546236,Piata de zi,,
,S84,46.549967,24.5539783,Sala Polivalenta,,
,S85,46.5529921,24.5572815,Aleea Carpati,,
,S86,46.55362589999999,24.5581888,Darina,,
,S11,46.5318722,24.5574635,Dambul Pietros,,
,S87,46.5567445,24.5634616,strandul 1 Mai,,
,S88,46.5427609,24.539484,Ady Endre,,
,S89,46.5408412,24.5444303,Salcamilor,,
,S09,46.5342141,24.5913393,Regele Ferdinand,,
,S60,46.5218125,24.5315686,Record,,
,S90,46.5409782,24.5444508,Piata Onesti,,
,S91,46.542619,24.5393095,Rovinari,,
,S92,46.5350034,24.5657497,Izvorul Rece,,
,S93,46.5348558,24.5654754,Izvorul Rece,,
,S94,46.5336258,24.5706229,Panduru,,
,S95,46.5335718,24.5691171,Panduru,,
,S110,46.5799262,24.607412300000004,Biserica Ortodoxa,,
,S96,46.5334645,24.5723159,MBO,,
,S97,46.5332481,24.5783564,Mari Cristi,,
,S98,46.5331014,24.5796699,Mari Cristi,,
,S61,46.5247912,24.5369559,Traian Vuia,,
,S99,46.5342263,24.5824139,Pandurilor,,
,S111,46.5823,24.6106899,Baile Sarate,,
,S112,46.5907723,24.6218752,Magnolia,,
,S113,46.5802859,24.6075396,Subdeal,,
,S114,46.571743700000006,24.5974179,Valea Jacului,,
,S115,46.5640435,24.585054100000004,Pasajul Ostrovului,,
,S10,46.5355108,24.5956129,Solidaritatea,,
,S116,46.5709093,24.5962349,Gradinita,,
,S117,46.5805759,24.5552019,Statie Necunoscuta,,
,S118,46.58630170000001,24.5641524,Statie Necunoscuta,,
,S62,46.5238569,24.5420879,Autogara Trans Sil,,
,S119,46.5233972,24.5190435,Dezrobirii,,
,S12,46.5396585,24.5604582,Izvor,,
,S120,46.5274317,24.535059,Transilvania,,
,S121,46.5263583,24.5137457,Mureseni sat,,
,S122,46.5234691,24.525924,Ambient,,
,S123,46.5270489,24.5339067,Transilvania,,
,S124,46.5235066,24.5263802,Ambient,,
,S100,46.5329951,24.573741,Transilvania,,
,S125,46.5316815,24.5409687,Fabrica de zahar,,
,S126,46.5307325,24.5391421,Fabrica de zahar,,
