block_id,direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name
1,0,L44,FULLW,,to Sapientia,L441,
2,1,L44,FULLW,,to Combinat,L442,
,1,L06,WE,,Centrofarm,L06081,6 21:40 to Centrofarm
,1,L06,WE,,Centrofarm,L06080,6 20:40 to Centrofarm
,1,L06,WE,,Centrofarm,L06079,6 19:40 to Centrofarm
,1,L06,WE,,Centrofarm,L06078,6 18:40 to Centrofarm
,1,L06,WE,,Centrofarm,L06077,6 17:40 to Centrofarm
,1,L06,WE,,Centrofarm,L06076,6 16:20 to Centrofarm
,1,L06,WE,,Centrofarm,L06075,6 15:20 to Centrofarm
,1,L06,WE,,Centrofarm,L06074,6 14:20 to Centrofarm
,1,L06,WE,,Centrofarm,L06073,6 13:20 to Centrofarm
,1,L06,WE,,Centrofarm,L06072,6 12:20 to Centrofarm
,1,L06,WE,,Centrofarm,L06071,6 11:20 to Centrofarm
,1,L06,WE,,Centrofarm,L06070,6 10:20 to Centrofarm
,1,L06,WE,,Centrofarm,L06069,6 08:50 to Centrofarm
,1,L06,WE,,Centrofarm,L06068,6 07:50 to Centrofarm
,1,L06,WE,,Centrofarm,L06067,6 06:50 to Centrofarm
,1,L06,WE,,Centrofarm,L06066,6 05:50 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06065,6 21:15 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06064,6 20:05 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06063,6 18:55 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06062,6 17:45 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06061,6 16:35 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06060,6 15:45 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06059,6 15:10 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06058,6 14:50 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06057,6 14:00 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06056,6 13:25 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06055,6 12:50 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06054,6 12:15 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06053,6 11:40 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06052,6 11:05 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06051,6 10:30 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06050,6 09:55 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06049,6 09:20 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06048,6 08:45 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06047,6 08:10 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06046,6 07:30 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06045,6 06:55 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06044,6 06:25 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06043,6 05:50 to Centrofarm
,1,L06,FULLW,,Centrofarm,L06042,6 05:10 to Centrofarm
,0,L06,WE,,Mureseni sat,L06041,6 22:10 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06040,6 21:10 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06039,6 20:10 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06038,6 19:10 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06037,6 18:10 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06036,6 17:10 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06035,6 15:50 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06034,6 14:50 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06033,6 13:50 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06032,6 12:50 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06031,6 11:50 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06030,6 10:50 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06029,6 09:50 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06028,6 08:20 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06027,6 07:20 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06026,6 06:20 to Mureseni sat
,0,L06,WE,,Mureseni sat,L06025,6 05:20 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06024,6 22:00 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06023,6 20:40 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06022,6 19:30 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06021,6 18:20 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06020,6 17:10 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06019,6 16:00 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06018,6 15:10 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06017,6 14:35 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06016,6 14:00 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06015,6 13:25 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06014,6 12:50 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06013,6 12:15 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06012,6 11:40 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06011,6 11:05 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06010,6 10:30 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06009,6 09:55 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06008,6 09:20 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06007,6 08:45 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06006,6 08:10 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06005,6 07:30 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06004,6 06:55 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06003,6 06:25 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06002,6 05:50 to Mureseni sat
,0,L06,FULLW,,Mureseni sat,L06001,6 05:15 to Mureseni sat
,0,L02,FULLW,,SMURD,L02001,2 07:24 to SMURD
,1,L02B,WE,,Mureseni sat,L02B093,2B 22:00 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B092,2B 20:50 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B091,2B 19:50 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B090,2B 18:50 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B089,2B 17:20 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B088,2B 16:20 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B087,2B 15:20 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B086,2B 14:20 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B085,2B 13:20 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B084,2B 12:20 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B083,2B 11:20 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B082,2B 10:20 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B081,2B 08:50 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B080,2B 07:50 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B079,2B 06:50 to Mureseni sat
,1,L02B,WE,,Mureseni sat,L02B078,2B 05:50 to Mureseni sat
,0,L02B,WE,,SMURD,L02B077,2B 21:30 to SMURD
